juqing,xiju,dongzuo,aiqing,kehuan,xuanyi,donghua,qita,dalu,gangaotai,guowai,dalushangying,dianyingjie,result
1,1,0,0,0,0,0,0,1,0,0,1,0,高
1,0,0,0,0,0,0,0,0,0,1,1,0,低
0,0,1,0,1,0,0,0,0,0,1,1,0,高
1,0,0,0,0,0,0,0,0,0,1,1,0,高
1,1,0,0,0,0,0,0,0,1,0,0,1,低
1,0,0,0,0,0,0,0,0,0,1,0,1,低
0,0,1,0,1,0,0,0,0,0,1,1,0,高
1,1,0,0,0,0,0,0,1,0,0,1,0,高
1,0,1,0,0,0,0,0,1,1,0,1,0,高
0,0,1,0,0,1,0,0,0,0,1,1,0,高
1,0,0,0,0,0,0,0,0,0,1,1,0,高
0,0,0,1,0,0,1,0,1,0,0,1,0,高
0,1,0,0,0,0,0,0,0,0,1,0,1,低
0,1,0,0,0,0,1,0,0,0,1,1,0,高
0,1,0,0,0,1,0,0,0,0,1,1,0,高
0,0,0,1,0,0,0,0,0,0,1,0,0,低
0,0,1,0,0,0,0,0,0,0,1,1,0,高
1,0,0,0,0,0,1,0,0,0,1,0,0,低
1,0,0,0,0,0,0,0,0,0,1,0,0,低
1,0,0,1,0,0,0,0,0,0,1,0,0,低
0,1,1,0,0,0,0,0,0,0,1,1,0,高
1,0,0,0,0,1,0,0,0,0,1,0,1,低
1,0,0,0,0,0,0,0,0,0,1,1,0,低
0,1,0,0,0,0,1,0,0,0,1,0,0,低
1,0,0,0,0,0,0,0,0,0,1,0,1,低
0,0,0,1,0,0,0,0,1,0,0,1,0,等
0,0,0,0,0,0,1,0,0,0,1,0,0,高
0,1,0,0,0,0,1,0,0,0,1,0,0,低
1,0,0,0,0,0,0,0,0,0,1,0,1,高
0,0,1,0,1,0,0,0,0,0,1,1,0,高
0,0,1,0,1,0,0,0,1,0,0,1,0,高
0,1,1,0,0,0,0,0,0,0,1,1,0,高
0,0,0,0,1,0,1,0,0,0,1,0,0,低
1,0,1,0,0,0,0,0,1,1,0,1,0,高
1,0,1,0,0,0,0,0,1,0,0,1,0,高
1,0,0,1,0,0,0,0,0,0,1,0,1,高
1,0,0,0,0,0,0,0,0,0,1,0,0,低
1,0,0,0,0,0,0,0,1,0,0,1,0,高
0,1,0,0,0,0,0,0,0,0,1,0,0,低
1,1,0,0,0,0,0,0,1,0,0,1,0,高
1,1,0,0,0,0,0,0,0,0,1,0,1,低
1,0,0,1,0,0,0,0,0,0,1,0,1,低
0,0,1,0,1,0,0,0,0,0,1,1,0,高
0,0,0,0,0,0,0,1,0,0,1,1,0,高
1,1,0,0,0,0,0,0,0,0,1,1,0,高
0,0,1,0,0,0,0,0,0,0,1,0,0,低
0,1,0,0,0,0,0,0,0,0,1,0,1,低
0,0,0,0,0,0,1,0,0,0,1,0,0,低
1,1,0,0,0,0,0,0,1,0,0,1,0,高
1,0,0,1,0,0,0,0,0,0,1,0,0,等
1,1,0,0,0,0,0,0,0,0,1,0,0,高
1,0,0,0,0,0,0,0,0,0,1,0,0,低
1,0,0,0,0,0,0,0,0,0,1,0,0,低
0,1,0,0,0,1,0,0,0,0,1,0,1,低
1,0,0,0,0,0,0,0,1,0,0,1,0,高
0,0,0,0,0,0,0,1,0,0,1,0,1,低
1,0,0,0,0,0,0,0,0,0,1,0,0,低
1,0,0,0,0,0,0,0,0,0,1,0,1,低
0,1,1,0,0,0,0,0,0,0,1,0,0,低
1,0,0,0,0,0,0,0,0,0,1,0,0,低
0,0,1,0,0,0,0,0,0,0,1,0,0,低
0,1,0,1,0,0,0,0,1,0,0,1,0,高
1,0,0,1,0,0,0,0,0,0,1,0,1,高
1,0,0,0,0,0,0,0,0,0,1,0,0,低
0,0,0,0,0,1,0,0,0,0,1,0,0,低
0,1,0,0,0,0,1,0,0,0,1,1,0,高
1,0,0,0,0,0,0,0,0,0,1,0,1,低
1,0,0,1,0,0,0,0,1,0,0,1,0,低
