,name,frequency
926,曹操,934
20026,孔明,831
361,玄德,569
708,关公,509
3336,丞相,488
583,二人,465
2598,荆州,420
508,张飞,348
253,商议,344
2663,主公,327
687,军士,310
2126,吕布,300
818,军马,288
530,刘备,271
523,次日,270
803,引兵,269
507,大喜,265
10404,孙权,264
506,云长,261
5230,赵云,255
27,天下,255
10409,东吴,250
1853,今日,242
32812,魏兵,233
1659,陛下,222
21230,司马懿,221
778,人马,220
3975,都督,218
10272,周瑜,217
420,一人,216
11313,汉中,212
4054,众将,206
22080,后主,200
28879,蜀兵,190
1879,袁绍,190
3671,夏侯,185
7060,马超,185
2298,大叫,180
2612,上马,179
21786,魏延,177
888,此人,174
20756,先主,173
312,太守,172
398,天子,169
1247,城中,168
670,后人,168
1153,背后,168
25584,黄忠,168
6840,忽报,165
1392,大军,164
425,何故,162
8704,夫人,161
1085,先锋,161
20160,诸葛亮,157
38243,姜维,151
1116,赶来,148
236,令人,145
4025,江东,143
3767,徐州,141
957,下马,138
1006,喊声,137
28403,成都,136
289,百姓,133
2366,未知,133
735,大败,132
308,一军,130
91,不见,127
27089,马岱,127
3684,起兵,127
713,接应,126
759,军中,123
3822,进兵,123
35995,孟获,122
784,引军,122
1414,大惊,122
27232,庞德,122
3119,心中,121
4940,刘表,119
648,大怒,118
1048,下文,117
682,追赶,116
5248,一声,116
3906,粮草,116
3568,分付,115
1049,分解,115
986,董卓,114
7413,曹兵,114
3961,三千,113
1170,回报,113
640,出马,113
3092,只得,113
722,一齐,112
9543,许都,112
4165,大将,111
2727,报知,111
2546,之兵,110
5447,孙策,108
1917,众官,108
102,洛阳,107
17287,鲁肃,107
1000,领兵,106
274,星夜,104
2505,何人,104
1379,城上,103
305,精兵,103
1599,之计,103
1523,不肯,102
636,相见,101
2976,文武,100
1648,一日,99
403,其言,99
32870,关兴,97
9075,徐晃,97
651,出战,97
2069,若何,97
2113,此事,96
2402,而行,96
1830,必有,96
9645,军师,94
2382,之中,93
29602,祁山,92
4716,伏兵,92
2112,大笑,91
816,忽见,90
4279,西川,89
38705,司马昭,89
162,兄弟,89
2327,立于,89
5009,襄阳,89
30889,大王,88
32056,王平,88
2300,首级,88
967,朝廷,88
3686,夏侯渊,88
1165,坚守,86
4042,传令,86
1298,三军,86
817,一彪,86
13425,刘璋,85
5016,当先,85
4505,长安,85
683,投降,85
798,埋伏,85
628,五百,84
1426,遣使,84
695,五千,84
2261,袁术,84
4494,回见,84
2840,之间,84
306,三路,84
3679,有人,83
4039,小路,83
1722,是夜,83
20811,吕蒙,83
5,英雄,83
58,大将军,83
1626,将士,82
20851,甘宁,82
3970,马下,82
3035,无不,81
9978,江南,81
4088,杀出,80
6756,诸葛,80
5453,樊城,80
940,望见,79
2528,屯兵,79
16861,中原,79
702,下寨,79
43000,邓艾,79
3694,曹仁,78
587,之意,78
35213,蛮兵,78
731,城下,77
924,前来,77
1128,出迎,77
1438,武士,77
4243,两路,77
1245,四面,76
758,本部,76
1071,连夜,76
810,奔走,75
1190,冀州,75
564,人报,75
2529,城外,75
929,一阵,75
1106,杀来,75
4033,细作,75
6767,使者,75
25127,吴兵,74
1937,心腹,74
1129,交锋,74
3205,城门,73
1017,而出,73
12817,皇叔,73
2340,众人,73
2334,杀入,73
417,当日,72
29445,张翼,72
3480,兴兵,71
2071,如之奈何,71
2058,先帝,71
20813,陆逊,70
1344,许昌,70
423,国家,70
821,来到,70
639,两军,70
4247,厮杀,69
565,两个,69
8494,许褚,69
5640,拜谢,69
2424,慌忙,69
19479,庞统,69
2177,谋士,68
466,饮酒,68
995,岂可,68
824,为首,68
3695,曹洪,68
5845,父子,67
4673,李典,67
5601,山上,67
1242,掩杀,67
163,三人,67
1047,性命,67
2715,此言,67
5207,之心,67
2175,进发,67
18544,曹丕,67
3788,刘玄德,67
16082,廖化,66
314,江夏,66
35782,曹真,66
4850,昔日,66
7901,有失,66
126,群臣,65
3176,奈何,65
808,不及,65
28171,孟达,64
2778,相待,64
760,入帐,64
5010,蔡瑁,64
955,玄德大,64
4763,数十,64
5852,自有,63
2331,安敢,63
16720,关平,62
3917,前部,62
42962,钟会,62
1168,攻打,62
1197,即日,62
3121,使人,62
573,迎接,62
894,何如,62
6062,礼毕,62
663,纵马,62
1384,往来,61
660,直取,61
4192,中军,61
7623,太史慈,61
9054,回顾,60
4255,大寨,60
10543,大兵,60
934,死战,60
27867,蜀中,60
1219,报仇,60
4096,韩当,59
2510,向前,59
2895,设宴,59
4095,黄盖,59
5780,貂蝉,59
1123,之上,59
559,收拾,59
4263,迎敌,59
5310,乃是,58
9769,十万,58
4153,文丑,58
9721,南郡,57
2509,勒马,57
3832,再三,57
304,各引,57
8036,曹军,57
19147,新野,57
28411,张任,56
5299,回到,56
4551,之地,56
1354,刺史,56
31628,郭淮,56
781,消息,56
925,败走,56
2496,至此,56
1875,而入,55
1092,交战,55
1250,不许,55
7978,汝二人,55
451,汉室,55
7498,火起,55
2215,大半,55
6897,退兵,54
1232,之众,54
2308,部将,54
8543,旌旗,54
4453,赶到,54
2641,拔剑,54
625,五万,53
3593,当夜,53
11934,吴侯,53
705,方可,53
5338,河北,53
421,厉声,53
3479,诸侯,53
20819,丁奉,52
3279,大哭,52
3522,使君,52
728,夹攻,52
90,须臾,51
36556,张嶷,51
88,百官,51
671,诗赞,51
33849,司马师,51
633,直至,51
7771,两边,51
1924,必为,51
69,自此,51
3634,相助,51
7509,求救,51
6859,城池,51
4544,之言,51
4037,今夜,51
99,无数,51
322,计议,51
438,其人,50
19804,刘封,50
7358,于禁,50
2530,每日,50
4215,手下,50
629,前去,50
622,数日,50
1711,社稷,50
4047,正遇,50
857,一计,49
1683,推出,49
771,胜负,49
3823,之策,49
1372,孙坚,49
8436,领命,49
1801,太后,49
7706,之事,49
35101,张苞,49
1331,奋力,48
4674,乐进,48
40519,夏侯霸,48
388,遥望,48
1309,一将,48
4703,不住,48
10189,早有,48
20815,徐盛,48
5279,众军,48
1023,大乱,48
5893,两下,48
1348,司马,48
1496,大小,48
1215,聚众,48
900,闻言,48
2678,阵前,48
7521,糜竺,48
1167,围住,48
1346,皇帝,47
4621,放火,47
2484,号令,47
300,讨贼,47
37989,杨仪,47
8318,孙乾,47
6833,收兵,47
644,大骂,47
7668,自引,47
4310,无人,46
3118,忠义,46
649,副将,46
20654,孔明笑,46
7072,追杀,46
715,而进,46
3361,不想,46
7930,百万,46
2012,早晚,46
3496,陈宫,46
1026,回寨,46
6801,劫寨,46
12131,提兵,46
823,去路,45
4584,下令,45
8207,火光,45
10526,成功,45
10093,张昭,45
6300,贾诩,45
412,公孙瓒,45
3269,老夫,45
2037,之士,45
5475,分兵,45
5241,炮响,45
2369,伏于,45
7504,某愿,45
4905,营寨,44
3501,三日,44
2798,之下,44
6388,用兵,44
8121,重赏,44
3747,兖州,44
1773,起身,44
5306,死者,44
3971,生擒,43
2471,不到,43
1063,部下,43
709,一千,43
1308,到来,43
4696,挺枪,43
822,截住,43
8594,审配,43
5682,已毕,42
3770,马腾,42
368,一枝,42
7677,足下,42
272,闻知,42
4229,败军,42
19291,公子,42
1156,飞马,42
4324,拍马,42
17759,袁尚,42
3713,三万,42
1249,出城,42
2421,四下,42
38352,维曰,42
8554,轻敌,41
20037,卧龙,41
3646,操大喜,41
8855,官僚,41
3762,孔融,41
5404,黄祖,41
38791,街亭,41
5334,太师,41
2264,门外,41
1221,得胜,41
1420,不用,41
868,自来,41
1209,上表,41
2914,未尝,41
7194,操问,41
10048,渡江,41
15280,公曰,41
6082,回去,40
1624,差人,40
1692,众视,40
3623,父亲,40
1228,攻城,40
4271,来迎,40
3793,将来,40
26497,曹休,40
4,黄巾,40
384,东南,40
1673,大臣,40
5384,江边,40
3546,今若,40
5180,山谷,40
1471,未及,40
4144,三合,40
657,翻身,40
1076,一处,40
7202,程昱,40
3579,看时,39
1547,后堂,39
1154,赶上,39
809,四散,39
10702,兵来,39
35046,魏主,39
19830,徐庶,39
927,拦住,39
2372,之内,39
812,天明,39
7074,隘口,39
2223,刀斧手,39
193,姓名,39
11314,张鲁,39
1481,坐于,39
4698,左边,39
30454,南安,39
7908,即时,38
13423,益州,38
4766,吾主,38
4005,关上,38
5557,应声,38
889,汝南,38
8434,飞报,38
3248,不忍,38
5870,接入,38
5312,探知,38
514,明日,38
28759,雒城,38
5267,败兵,38
44,献帝,38
320,校尉,38
2730,贤弟,38
15414,车仗,38
2367,虚实,38
1155,旗号,38
6793,听知,38
8581,杨奉,38
4007,匹夫,38
5386,战船,38
1738,锐气,37
26421,哨探,37
20159,水军,37
4443,便是,37
1216,数万,37
1655,径到,37
36655,泸水,37
658,落马,37
5175,冲突,37
1237,径取,37
5584,报说,37
29917,邓芝,37
32047,斜谷,37
1850,使命,37
298,各处,37
7600,开门,37
1763,钱粮,37
2141,吾料,37
6944,不服,37
8235,大路,37
984,军心,37
2359,时分,37
10730,平生,37
339,言语,37
5308,大起,37
29926,马谡,37
561,马匹,37
8469,退去,37
2898,太傅,36
8237,拜伏,36
37651,武侯,36
4409,关云长,36
560,军器,36
10170,周泰,36
9957,二嫂,36
35726,魏主曹,36
5408,长子,36
5242,呐喊,36
2541,其事,36
27067,天水,36
9443,军民,36
9297,建安,36
10155,土人,35
5320,收军,35
4273,阵势,35
1741,士卒,35
1653,大夫,35
3266,寻思,35
1695,宫中,35
7218,淮南,35
288,四方,35
2857,安肯,35
3633,若得,35
5478,船只,35
4722,山坡,35
1486,馆驿,35
2023,入见,35
4305,幸得,35
5152,乱箭,35
41736,曹爽,35
6466,其意,35
30222,魏王,35
7460,刘皇叔,35
20853,凌统,34
1693,司徒,34
1265,造反,34
301,中郎将,34
3418,此必,34
1761,平原,34
5466,船上,34
109,元年,34
1135,拨马,34
12443,断后,34
2538,可速,34
787,不利,34
701,三十里,34
7753,赵子龙,34
1323,十余,34
1490,良久,34
529,再拜,34
1585,兄长,34
4269,救应,34
26199,孙夫人,33
15176,中计,33
7013,韩遂,33
7004,动静,33
11311,荆襄,33
5257,回马,33
27914,剑阁,33
3244,密书,33
3414,操贼,33
2171,郭汜,33
3653,白旗,33
1699,近臣,33
7720,先行,33
40478,木牛流马,33
4700,右边,33
1871,披挂,33
1601,印绶,33
27702,参军,33
1350,会合,32
251,内应,32
688,青州,32
4256,报入,32
3258,未敢,32
458,安民,32
4923,之物,32
400,叔父,32
15269,诈降,32
1663,有何,32
7766,子龙,32
3200,车上,32
5261,枪刺,32
5013,一万,32
2363,大呼,32
2052,少顷,32
12441,拜辞,32
6587,兵马,32
10284,去取,32
20456,诸葛瑾,32
8015,兵到,32
1930,尚书,32
33406,马忠,32
8146,只恐,32
1864,之子,32
7360,操令,32
4686,其计,32
8405,诈败,32
3811,一同,32
6359,此计,32
8540,乃谓,32
3488,妻子,32
10028,已知,32
10088,公瑾,32
7141,自回,31
12717,关某,31
2405,行至,31
7025,并力,31
1431,四海,31
2481,数百,31
2498,数里,31
815,夺路,31
5298,重围,31
2860,一刀,31
20817,潘璋,31
2253,小儿,31
4262,一半,31
7672,具言,31
1715,侍中,31
734,助战,31
4691,不出,31
7903,不可不,31
1203,危急,31
9080,董承,31
3122,探听,31
2945,此去,31
1370,西门,31
7522,守城,31
3125,遂命,31
699,混战,31
5507,汉水,31
29250,严颜,31
788,退入,30
1004,忽闻,30
938,听得,30
3654,上书,30
4210,哥哥,30
1152,退军,30
23963,归降,30
1036,无礼,30
1198,班师,30
1178,我军,30
4152,颜良,30
4146,上将,30
10041,以此,30
885,南阳,30
5374,归路,30
3037,阶下,30
2741,名曰,30
1635,长沙,30
1628,从者,30
6828,谷口,30
176,手执,30
12260,关隘,30
9030,以防,30
5034,表曰,30
43286,贾充,30
2150,西凉,30
4779,城内,30
8525,老小,30
2444,何在,30
11683,出师,30
4719,射中,30
30398,阳平关,30
5637,两家,30
7477,端坐,30
32729,魏军,30
7614,辽东,29
6625,反贼,29
1055,陇西,29
4669,操大怒,29
12270,举火,29
8285,玄德问,29
6908,之罪,29
15271,下山,29
8563,一箭,29
1276,良策,29
20195,孔明之,29
1963,宗族,29
11485,奔回,29
17491,运粮,29
422,大丈夫,29
1527,乘马,29
1083,屯于,29
3745,豫州,29
1391,正中,29
2681,不幸,29
1352,其子,29
9423,敌不住,29
9265,今番,29
3275,必来,29
28170,法正,29
510,共议,29
8866,营中,29
19176,阿斗,29
1305,十里,29
1021,冲杀,29
2527,玉玺,28
1136,驱兵,28
10169,蒋钦,28
820,红旗,28
930,斩首,28
7628,二十里,28
12059,刘豫州,28
17163,周郎,28
3226,大喝,28
36385,高定,28
4938,一封,28
16614,糜芳,28
4910,特来,28
5366,吾兄,28
8160,前军,28
2655,跃马,28
632,领军,28
8538,恐有,28
9155,下船,28
8998,在外,28
3801,之力,28
726,回身,28
27828,入川,28
828,都尉,28
8553,诡计,28
9407,操兵,28
913,提刀,28
19477,水镜,28
6196,议事,28
1005,山后,28
4617,于路,28
173,老人,27
8966,羌兵,27
10684,以图,27
5598,山路,27
329,随即,27
3709,粮食,27
3254,之臣,27
12010,操笑,27
24100,统曰,27
3608,曹公,27
1371,东门,27
5181,骤马,27
5105,长史,27
2482,车驾,27
22185,浮桥,27
4121,自幼,27
345,身长,27
1233,抵敌,27
21471,托孤,27
4693,摆开,27
4738,步行,27
761,施礼,27
11651,江陵,27
2073,勒兵,27
36543,董荼,27
5385,安排,27
3883,坐定,27
935,操见,27
20207,孔明自,27
10266,基业,27
5302,大进,26
4090,大喝一声,26
13802,郭图,26
4012,程普,26
4049,相交,26
12089,简雍,26
2668,两阵,26
5211,整顿,26
6795,放心,26
3100,衣服,26
10150,拒敌,26
2977,在手,26
1827,安能,26
5456,诸军,26
3487,老母,26
29925,吴班,26
80,一条,26
1277,不容,26
38388,雍州,26
1288,西北,26
22337,子敬,26
1306,方欲,26
1531,痛哭,26
257,可惜,26
1395,一路,26
1362,少年,26
30656,定军山,26
2461,君臣,26
319,贼兵,26
2975,大会,26
5093,难以,26
2443,酒食,26
7732,起程,26
4038,引一军,26
7647,决一死战,26
2179,多有,26
15278,之情,26
1130,之际,26
949,半路,26
9916,玄德闻,26
2236,相府,26
1127,擂鼓,26
12268,便教,26
5126,以待,26
5593,不远,25
19480,童子,25
5935,百余,25
6181,自然,25
17860,袁熙,25
4337,战不数合,25
28337,黄权,25
7954,小沛,25
1396,十数,25
9391,安营,25
1458,一月,25
1497,三十余,25
4652,发兵,25
1651,饮宴,25
4660,无益,25
8674,玄德自,25
4666,诸公,25
1727,五十,25
1804,太子,25
4679,追兵,25
3905,总督,25
4724,马来,25
6670,先取,25
3423,文书,25
4799,天文,25
29014,吴懿,25
3687,壮士,25
7480,辞去,25
3708,衣甲,25
7112,提防,25
1064,听令,25
2540,王允,25
5259,后军,25
6792,四人,25
2578,之主,25
2583,聪明,25
4222,公等,25
8060,高顺,25
12585,平明,25
11566,动兵,25
8,长江,25
78,狂风,25
11524,南征,25
14251,官渡,25
11404,即命,25
468,大汉,25
631,欣然,25
