Date,coke,pepsi
31/12/1990,19,13
2/01/1991,18.25,12.875
3/01/1991,17.5,12.5
4/01/1991,16.75,12.4375
7/01/1991,16.75,12.125
8/01/1991,17,12.1875
9/01/1991,17,12.1875
10/01/1991,17,12.125
11/01/1991,17,12.25
14/01/1991,16.75,12.1875
15/01/1991,17,12.0625
16/01/1991,16.75,12.4375
17/01/1991,18.25,13.4375
18/01/1991,18,13.625
21/01/1991,18.125,13.375
22/01/1991,17.75,13.1875
23/01/1991,18.25,13.4375
24/01/1991,18.75,14
25/01/1991,18.5,13.5625
28/01/1991,19.5,13.1875
29/01/1991,19.75,13.5625
30/01/1991,20.75,13.8125
31/01/1991,20.25,13.75
1/02/1991,20.75,13.5
4/02/1991,20,13.5
5/02/1991,22.25,14.375
6/02/1991,22,15.125
7/02/1991,22.25,14.8125
8/02/1991,22.125,14.75
11/02/1991,24,15.3125
12/02/1991,23.25,15.125
13/02/1991,22.75,15.5
14/02/1991,22.75,15.875
15/02/1991,23.5,16
19/02/1991,23,16.125
20/02/1991,23.25,15.8125
21/02/1991,22.75,16.125
22/02/1991,23,16.625
25/02/1991,22.5,16.75
26/02/1991,22.75,16.375
27/02/1991,22.75,16.8125
28/02/1991,23,16.375
1/03/1991,22.75,16.5
4/03/1991,22.75,15.9375
5/03/1991,23.75,16.9375
6/03/1991,23.625,16.375
7/03/1991,24.25,16.375
8/03/1991,24,16.25
11/03/1991,24,16.0625
12/03/1991,24,15.625
13/03/1991,24.5,16.125
14/03/1991,24.25,16.5625
15/03/1991,24.25,16.6875
18/03/1991,24.25,16.5625
19/03/1991,24.25,16.25
20/03/1991,24.75,16.75
21/03/1991,24.25,16.8125
22/03/1991,25,16.4375
25/03/1991,25,16.375
26/03/1991,24.25,17.0625
27/03/1991,24.75,17.0625
28/03/1991,24.5,17.125
1/04/1991,24.5,17
2/04/1991,24.5,17.8125
3/04/1991,24.5,17
4/04/1991,24.75,17.0625
5/04/1991,24.625,16.625
8/04/1991,25,16.25
9/04/1991,24.875,16.1875
10/04/1991,24.75,16.25
11/04/1991,25.5,16.5
12/04/1991,26.5,16.5625
15/04/1991,26,16.75
16/04/1991,26,17
17/04/1991,26,16.75
18/04/1991,26,16.5625
19/04/1991,26,16.4375
22/04/1991,26.5,16.25
23/04/1991,26,16.3125
24/04/1991,26,16.375
25/04/1991,26.125,16.0625
26/04/1991,25.75,16.125
29/04/1991,24.75,15.25
30/04/1991,22.75,15.9375
1/05/1991,23.25,16.4375
2/05/1991,23.5,16.1875
3/05/1991,23.25,15.875
6/05/1991,24,16
7/05/1991,23.25,15.8125
8/05/1991,23,15.875
9/05/1991,23.5,16.125
10/05/1991,23.125,15.8125
13/05/1991,23.25,16.125
14/05/1991,22.75,15.8125
15/05/1991,22.5,15.625
16/05/1991,23.25,15.8125
17/05/1991,23.25,15.6875
20/05/1991,23.25,15.875
21/05/1991,22.5,16.25
22/05/1991,22.5,16.25
23/05/1991,23.25,15.8125
24/05/1991,23.25,15.875
28/05/1991,23,16.125
29/05/1991,23,16.0625
30/05/1991,24,15.8125
31/05/1991,24.25,15.6875
3/06/1991,23.5,15.4375
4/06/1991,24.25,15.5
5/06/1991,23.5,15.3125
6/06/1991,23.5,15.5
7/06/1991,22.75,15.375
10/06/1991,22.75,15.125
11/06/1991,23.25,15.25
12/06/1991,23.25,15.0625
13/06/1991,22,15
14/06/1991,22,15.4375
17/06/1991,21.25,15.4375
18/06/1991,22.25,15.1875
19/06/1991,22.125,14.9375
20/06/1991,22.25,15
21/06/1991,22.25,15
24/06/1991,21.75,14.8125
25/06/1991,21,14.375
26/06/1991,21.75,14.5
27/06/1991,21.25,14.5625
28/06/1991,21.5,14.5
1/07/1991,21.5,14.5625
2/07/1991,22.5,14.875
3/07/1991,22.5,14.6875
5/07/1991,22.25,14.5625
8/07/1991,22.25,14.875
9/07/1991,22.625,14.9375
10/07/1991,23,14.3125
11/07/1991,23,14.3125
12/07/1991,22.25,14.5
15/07/1991,22.25,14.9375
16/07/1991,21.5,15.125
17/07/1991,21.5,14.875
18/07/1991,22,14.875
19/07/1991,21.5,14.6875
22/07/1991,22,14.5
23/07/1991,21.5,14.5
24/07/1991,21.625,14.8125
25/07/1991,22,14.875
26/07/1991,21.5,14.75
29/07/1991,21.5,14.9375
30/07/1991,21.75,15.75
31/07/1991,21.75,15.9375
1/08/1991,22,15.875
2/08/1991,22,15.8125
5/08/1991,21.25,15.6875
6/08/1991,21.25,16.125
7/08/1991,21.25,16.25
8/08/1991,21.25,16.25
9/08/1991,21,16
12/08/1991,21.5,16.125
13/08/1991,21.75,16.0625
14/08/1991,21.75,16.375
15/08/1991,21.75,16.4375
16/08/1991,21.25,16.0625
19/08/1991,21.5,15.375
20/08/1991,21.5,15.8125
21/08/1991,21.5,16.5
22/08/1991,21.25,16.4375
23/08/1991,21,16.6875
26/08/1991,21,16.5
27/08/1991,21.25,16.4375
28/08/1991,21.25,16.625
29/08/1991,21.25,16.5
30/08/1991,22.5,16.1875
3/09/1991,21.5,15.75
4/09/1991,22.5,15.5625
5/09/1991,22.5,14.9375
6/09/1991,21.75,14.5625
9/09/1991,22.25,14.875
10/09/1991,22,14.5625
11/09/1991,22,14.8125
12/09/1991,21.75,14.9375
13/09/1991,21.625,14.75
16/09/1991,21.5,14.5625
17/09/1991,20.25,14.5625
18/09/1991,19.75,14.625
19/09/1991,19.5,14.75
20/09/1991,20,14.5625
23/09/1991,20,14.5625
24/09/1991,19.625,14.4375
25/09/1991,19.5,14.25
26/09/1991,20,14.1875
27/09/1991,19.5,14.1875
30/09/1991,20,14.25
1/10/1991,19.5,14.5
2/10/1991,19.5,14.5625
3/10/1991,19.5,14.375
4/10/1991,19.875,14.25
7/10/1991,19.5,14.375
8/10/1991,19,14.5
9/10/1991,17,14.4375
10/10/1991,17.5,14.4375
11/10/1991,18,14.375
14/10/1991,18,14.5
15/10/1991,17.75,14.5
16/10/1991,18,14.3125
17/10/1991,18.5,14.125
18/10/1991,19,14.0625
21/10/1991,18.75,13.9375
22/10/1991,18.75,13.5625
23/10/1991,19.5,14
24/10/1991,19.5,13.875
25/10/1991,20.25,13.875
28/10/1991,20.25,14
29/10/1991,20,14.25
30/10/1991,19.5,14.3125
31/10/1991,19,14.25
1/11/1991,19.25,14.375
4/11/1991,18.75,14.6875
5/11/1991,19.25,14.4375
6/11/1991,19,14.3125
7/11/1991,18.5,14.6875
8/11/1991,18.75,14.5
11/11/1991,19,14.5
12/11/1991,19.75,14.75
13/11/1991,19.5,14.6875
14/11/1991,20,14.9375
15/11/1991,18,14.25
18/11/1991,18.75,14.875
19/11/1991,18.75,14.5625
20/11/1991,18.75,14.375
21/11/1991,18.5,14.6875
22/11/1991,18,14.4375
25/11/1991,17.5,14.375
26/11/1991,17.75,14.875
27/11/1991,17.75,14.8125
29/11/1991,18,14.8125
2/12/1991,18,15.3125
3/12/1991,17.875,15.1875
4/12/1991,17.5,15.1875
5/12/1991,17.875,15.125
6/12/1991,18,15.125
9/12/1991,17.5,15.25
10/12/1991,17,15.375
11/12/1991,17,15.375
12/12/1991,16.5,15.6875
13/12/1991,17.25,15.5625
16/12/1991,16.25,15.6875
17/12/1991,16.625,15.875
18/12/1991,17.25,16
19/12/1991,17.5,16.375
20/12/1991,18,16.5625
23/12/1991,18,16.5
24/12/1991,18,16.4375
26/12/1991,18.75,16.8125
27/12/1991,18,16.875
30/12/1991,19,17.0625
31/12/1991,20.25,16.9375
2/01/1992,20.25,16.9375
3/01/1992,19.5,17.1875
6/01/1992,19.5,16.9375
7/01/1992,19,16.9375
8/01/1992,20,17.625
9/01/1992,19.5,17.625
10/01/1992,20.5,17
13/01/1992,20,17.25
14/01/1992,20.25,17.4375
15/01/1992,20.25,17.4375
16/01/1992,19.5,16.875
17/01/1992,20.5,16.875
20/01/1992,20.25,16.5
21/01/1992,19.5,16.4375
22/01/1992,20.25,16.5
23/01/1992,20.25,16.5625
24/01/1992,20.25,16.5
27/01/1992,20.25,16.4375
28/01/1992,20.25,16.75
29/01/1992,20.25,16.375
30/01/1992,20,16.9375
31/01/1992,20.25,16.875
3/02/1992,19.75,16.75
4/02/1992,19.75,16.875
5/02/1992,20.375,16.4375
6/02/1992,20.5,16.4375
7/02/1992,20.75,16.125
10/02/1992,19.75,15.9375
11/02/1992,20.5,16.125
12/02/1992,20.125,16.4375
13/02/1992,20.5,15.9375
14/02/1992,20,15.875
18/02/1992,19.25,15.375
19/02/1992,19,15.75
20/02/1992,19.25,16.375
21/02/1992,18.25,16.125
24/02/1992,18.25,16.3125
25/02/1992,19,16
26/02/1992,19,16.3125
27/02/1992,19.75,16.25
28/02/1992,19,16.125
2/03/1992,19,16.25
3/03/1992,19.25,16.1875
4/03/1992,19.25,16.1875
5/03/1992,19.25,15.9375
6/03/1992,19.25,15.875
9/03/1992,19.75,15.8125
10/03/1992,19.5,15.8125
11/03/1992,19.25,15.9375
12/03/1992,18,15.8125
13/03/1992,18.5,15.9375
16/03/1992,18.5,16
17/03/1992,18.25,16.25
18/03/1992,18.25,16.1875
19/03/1992,19,16.125
20/03/1992,19.25,16.4375
23/03/1992,19,16.375
24/03/1992,18.75,16.1875
25/03/1992,17.75,16.5
26/03/1992,18.25,16.625
27/03/1992,18,17.1875
30/03/1992,18,17.0625
31/03/1992,18,17.125
1/04/1992,18,17.375
2/04/1992,18,17.3125
3/04/1992,17.5,17.5
6/04/1992,17.5,17.25
7/04/1992,18.25,17.125
8/04/1992,18.25,17.1875
9/04/1992,18.25,17.5
10/04/1992,18.125,17.6875
13/04/1992,17.75,17.6875
14/04/1992,17.75,17.75
15/04/1992,18.5,17.6875
16/04/1992,19,17.5625
20/04/1992,18,17.3125
21/04/1992,19,17.3125
22/04/1992,18.875,17.1875
23/04/1992,19,17.3125
24/04/1992,19,17
27/04/1992,19,16.9375
28/04/1992,18.5,17.4375
29/04/1992,18.25,17.75
30/04/1992,19,18.25
1/05/1992,19.25,18.125
4/05/1992,19.25,18.25
5/05/1992,18.75,18.125
6/05/1992,18.875,17.9375
7/05/1992,19.5,18
8/05/1992,18.75,18.0625
11/05/1992,18.75,18.125
12/05/1992,18.75,17.9375
13/05/1992,19,18.25
14/05/1992,19.375,18.25
15/05/1992,19,18.1875
18/05/1992,19.5,18.0625
19/05/1992,19.5,18
20/05/1992,19,18.125
21/05/1992,19.5,17.875
22/05/1992,18.75,18
26/05/1992,19.5,17.4375
27/05/1992,18.75,17.5625
28/05/1992,19.125,18
29/05/1992,19,18.25
1/06/1992,19.5,18
2/06/1992,20.25,18.125
3/06/1992,20.25,18
4/06/1992,19.5,17.8125
5/06/1992,19.75,17.8125
8/06/1992,20.125,17.625
9/06/1992,19.875,17.5625
10/06/1992,20,17.4375
11/06/1992,20,17.8125
12/06/1992,19.625,18
15/06/1992,19.5,17.75
16/06/1992,19.5,17.6875
17/06/1992,19.5,17.625
18/06/1992,18.75,17.375
19/06/1992,18.75,17.5625
22/06/1992,18.875,17.25
23/06/1992,19.25,17.375
24/06/1992,19.25,17.1875
25/06/1992,18.75,17.25
26/06/1992,19,17.375
29/06/1992,18.5,17.75
30/06/1992,18.25,17.4375
1/07/1992,18.25,17.625
2/07/1992,18.25,18
6/07/1992,18.5,18
7/07/1992,18.5,18
8/07/1992,18.5,18.125
9/07/1992,18.5,18.375
10/07/1992,18.5,18.375
13/07/1992,18.5,18.3125
14/07/1992,17.25,18.1875
15/07/1992,17.375,18
16/07/1992,17.5,18
17/07/1992,17.5,18
20/07/1992,17.125,17.8125
21/07/1992,17.25,18.375
22/07/1992,17.25,18
23/07/1992,17.125,18.25
24/07/1992,17.75,18.375
27/07/1992,18,18.125
28/07/1992,18.25,18.75
29/07/1992,18,18.75
30/07/1992,18,18.5
31/07/1992,18.25,18.6875
3/08/1992,18.75,18.6875
4/08/1992,18,18.75
5/08/1992,18.375,18.75
6/08/1992,18.5,18.6875
7/08/1992,18,18.5
10/08/1992,17.75,18.6875
11/08/1992,18.25,18.8125
12/08/1992,18.25,19.0625
13/08/1992,18.25,19.25
14/08/1992,18.5,19.25
17/08/1992,17.75,19.3125
18/08/1992,18.25,19.25
19/08/1992,18.25,18.875
20/08/1992,18.25,19.1875
21/08/1992,17.75,18.8125
24/08/1992,17.625,18.625
25/08/1992,18,18.8125
26/08/1992,18,18.9375
27/08/1992,17.75,18.9375
28/08/1992,18.25,18.9375
31/08/1992,17.75,18.75
1/09/1992,18.25,18.625
2/09/1992,18,18.5
3/09/1992,18.25,19
4/09/1992,18.25,18.8125
8/09/1992,18,18.875
9/09/1992,17.5,18.875
10/09/1992,18.25,19
11/09/1992,18.25,19
14/09/1992,19,19.1875
15/09/1992,18.75,19.125
16/09/1992,18,19.1875
17/09/1992,18.125,19.4375
18/09/1992,18.5,19.3125
21/09/1992,18.25,19.25
22/09/1992,17.75,18.5
23/09/1992,17.25,18.5625
24/09/1992,18,18.875
25/09/1992,18,18.6875
28/09/1992,17.75,18.9375
29/09/1992,17.75,18.9375
30/09/1992,17.75,18.9375
1/10/1992,18,19.5625
2/10/1992,18,19.25
5/10/1992,17.375,19.0625
6/10/1992,17,18.875
7/10/1992,16.75,18.6875
8/10/1992,18,18.9375
9/10/1992,17.25,18.625
12/10/1992,17.25,18.9375
13/10/1992,17.25,19.3125
14/10/1992,17.25,19.5
15/10/1992,17.25,19.6875
16/10/1992,17.25,19.875
19/10/1992,17.75,20
20/10/1992,17.5,20.0625
21/10/1992,18,20.0625
22/10/1992,17,20
23/10/1992,16.75,19.6875
26/10/1992,16,19.6875
27/10/1992,15.5,19.9375
28/10/1992,15.75,20.0625
29/10/1992,16.5,19.9375
30/10/1992,16.25,19.9375
2/11/1992,16,20.125
3/11/1992,17,19.9375
4/11/1992,17,19.6875
5/11/1992,17,19.4375
6/11/1992,16.875,19.6875
9/11/1992,17,19.8125
10/11/1992,17,19.9375
11/11/1992,16.5,20.4375
12/11/1992,17,20.1875
13/11/1992,16.5,20.25
16/11/1992,16.5,20.25
17/11/1992,15.25,20.5
18/11/1992,15.5,20.9375
19/11/1992,15.5,20.8125
20/11/1992,15.5,21.25
23/11/1992,15.5,20.875
24/11/1992,16,20.6875
25/11/1992,15.75,20.5
27/11/1992,16.25,20.5
30/11/1992,16.5,20.375
1/12/1992,15.75,20.375
2/12/1992,16.25,20.8125
3/12/1992,16.25,20.625
4/12/1992,16.25,20.9375
7/12/1992,17.25,20.9375
8/12/1992,16.75,21.25
9/12/1992,17.25,21.1875
10/12/1992,17.5,20.9375
11/12/1992,17.75,21.1875
14/12/1992,18,21.25
15/12/1992,17.75,21.375
16/12/1992,17.25,21.0625
17/12/1992,17.5,21
18/12/1992,17.25,21.1875
21/12/1992,18,21.3125
22/12/1992,17.5,21.25
23/12/1992,17.5,21.1875
24/12/1992,17.5,21.125
28/12/1992,17.5,21.375
29/12/1992,17,21.0625
30/12/1992,17,21.0625
31/12/1992,18.25,20.75
4/01/1993,18,20.5625
5/01/1993,17.25,20.375
6/01/1993,17.25,20.0625
7/01/1993,17.5,19.5
8/01/1993,17.25,19.8125
11/01/1993,17.5,19.8125
12/01/1993,17.25,20.0625
13/01/1993,17.75,20.0625
14/01/1993,17.5,20.375
15/01/1993,17.5,20.75
18/01/1993,18.25,20.75
19/01/1993,19,20.5625
20/01/1993,19.25,20.4375
21/01/1993,18.25,20.5625
22/01/1993,19,20.5
25/01/1993,19,20.5
26/01/1993,18.875,20.875
27/01/1993,19,21.1875
28/01/1993,19,20.9375
29/01/1993,19,20.9375
1/02/1993,18.5,21.125
2/02/1993,18.75,20.875
3/02/1993,19,20.75
4/02/1993,19.25,20.75
5/02/1993,19.25,20.25
8/02/1993,19.25,20.1875
9/02/1993,19.25,19.6875
10/02/1993,19,19.875
11/02/1993,19.75,20.3125
12/02/1993,19.5,19.75
16/02/1993,18.75,19.75
17/02/1993,19.25,20.1875
18/02/1993,18.25,20
19/02/1993,18.25,20
22/02/1993,17.625,19.875
23/02/1993,17.5,20.125
24/02/1993,18,20.1875
25/02/1993,18.25,19.8125
26/02/1993,18.25,19.9375
1/03/1993,17.5,19.625
2/03/1993,17.75,20.25
3/03/1993,18.75,20.5
4/03/1993,19.25,20.4375
5/03/1993,19.75,20.6875
8/03/1993,19.75,21.25
9/03/1993,19.5,21.0625
10/03/1993,19.5,21.0625
11/03/1993,20.25,21
12/03/1993,19.5,20.3125
15/03/1993,19.75,20.3125
16/03/1993,19.5,20.4375
17/03/1993,20,20.5
18/03/1993,19.25,20.75
19/03/1993,19.25,21
22/03/1993,19.25,20.875
23/03/1993,20,20.625
24/03/1993,20,20.875
25/03/1993,19.5,21.125
26/03/1993,19.25,21
29/03/1993,20,21.3125
30/03/1993,19.25,21.375
31/03/1993,19.25,21.4375
