position,name,age,country,gender,wealthSource,industry,worth
1,Jeff Bezos,54,United States,M,Amazon,Technology,112000
2,Bill Gates,62,United States,M,Microsoft,Technology,90000
3,Warren Buffett,87,United States,M,Berkshire Hathaway,Finance and Investments,84000
4,Bernard Arnault,69,France,M,LVMH,Fashion & Retail,72000
5,Mark Zuckerberg,34,United States,M,Facebook,Technology,71000
6,Amancio Ortega,82,Spain,M,Zara,Fashion & Retail,70000
7,Carlos Slim Helu,78,Mexico,M,telecom,Telecom,67100
8,Charles Koch,82,United States,M,Koch Industries,Diversified,60000
9,David Koch,78,United States,M,Koch Industries,Diversified,60000
10,Larry Ellison,73,United States,M,software,Technology,58500
11,Michael Bloomberg,76,United States,M,Bloomberg LP,Media & Entertainment,50000
12,Larry Page,45,United States,M,Google,Technology,48800
13,Sergey Brin,44,United States,M,Google,Technology,47500
14,Jim Walton,70,United States,M,Walmart,Fashion & Retail,46400
15,S. Robson Walton,73,United States,M,Walmart,Fashion & Retail,46200
16,Alice Walton,68,United States,F,Walmart,Fashion & Retail,46000
17,Ma Huateng,46,China,M,internet media,Technology,45300
18,Francoise Bettencourt Meyers,64,France,F,L'Oreal,Fashion & Retail,42200
19,Mukesh Ambani,61,India,M,"petrochemicals, oil & gas",Energy,40100
20,Jack Ma,53,China,M,e-commerce,Technology,39000
21,Sheldon Adelson,84,United States,M,casinos,Gambling & Casinos,38500
22,Steve Ballmer,62,United States,M,Microsoft,Technology,38400
23,Li Ka-shing,90,Hong Kong,M,diversified,Diversified,34900
24,Hui Ka Yan,59,China,M,real estate,Real Estate,30300
25,Lee Shau Kee,90,Hong Kong,M,real estate,Real Estate,30300
26,Wang Jianlin,63,China,M,real estate,Real Estate,30000
28,Phil Knight,80,United States,M,Nike,Fashion & Retail,29600
29,Jorge Paulo Lemann,78,Brazil,M,beer,Food and Beverage,27400
30,Francois Pinault,81,France,M,luxury goods,Fashion & Retail,27000
31,Georg Schaeffler,53,Germany,M,auto parts,Automotive,25300
32,Susanne Klatten,56,Germany,F,"BMW, pharmaceuticals",Automotive,25000
33,David Thomson,61,Canada,M,media,Media & Entertainment,25000
34,Jacqueline Mars,78,United States,F,"candy, pet food",Food and Beverage,23600
35,John Mars,82,United States,M,"candy, pet food",Food and Beverage,23600
36,Joseph Safra,79,Brazil,M,banking,Finance and Investments,23500
37,Giovanni Ferrero,53,Italy,M,"Nutella, chocolates",Food and Beverage,23000
38,Dietrich Mateschitz,74,Austria,M,Red Bull,Food and Beverage,23000
39,Michael Dell,53,United States,M,Dell computers,Technology,22700
40,Masayoshi Son,60,Japan,M,"internet, telecom",Telecom,22700
41,Serge Dassault,93,France,M,diversified,Diversified,22600
42,Stefan Quandt,52,Germany,M,BMW,Automotive,22000
43,Yang Huiyan,36,China,F,real estate,Real Estate,21900
44,Paul Allen,65,United States,M,"Microsoft, investments",Technology,21700
45,Leonardo Del Vecchio,83,Italy,M,eyeglasses,Fashion & Retail,21200
46,Dieter Schwarz,78,Germany,M,retail,Fashion & Retail,20900
47,Thomas Peterffy,73,United States,M,discount brokerage,Finance and Investments,20300
48,"Theo Albrecht, Jr.",67,Germany,M,"Aldi, Trader Joe's",Fashion & Retail,20200
49,Len Blavatnik,61,United States,M,diversified,Diversified,20200
50,He Xiangjian,75,China,M,home appliances,Manufacturing,20100
51,Lui Che Woo,89,Hong Kong,M,casinos,Gambling & Casinos,20100
52,James Simons,80,United States,M,hedge funds,Finance and Investments,20000
53,Henry Sy,93,Philippines,M,diversified,Diversified,20000
54,Elon Musk,46,United States,M,Tesla Motors,Automotive,19900
56,Tadashi Yanai,69,Japan,M,fashion retail,Fashion & Retail,19500
57,Vladimir Lisin,62,Russia,M,"steel, transport",Metals & Mining,19100
58,Laurene Powell Jobs,54,United States,F,"Apple, Disney",Philanthropy/NGO,18800
59,Azim Premji,72,India,M,software services,Technology,18800
60,Alexey Mordashov,52,Russia,M,"steel, investments",Metals & Mining,18700
61,Lee Kun-Hee,76,South Korea,M,Samsung,Diversified,18600
62,Lakshmi Mittal,68,India,M,steel,Metals & Mining,18500
63,Wang Wei,48,China,M,package delivery,Service,18200
64,Leonid Mikhelson,62,Russia,M,"gas, chemicals",Energy,18000
65,Charoen Sirivadhanabhakdi,74,Thailand,M,"drinks, real estate",Food and Beverage,17900
66,Pallonji Mistry,89,Ireland,M,construction,Construction & Engineering,17800
67,Ray Dalio,68,United States,M,hedge funds,Finance and Investments,17700
68,Takemitsu Takizaki,73,Japan,M,sensors,Manufacturing,17500
69,William Ding,46,China,M,online games,Technology,17400
70,R. Budi Hartono,77,Indonesia,M,"banking, tobacco",Finance and Investments,17400
71,Gina Rinehart,64,Australia,F,mining,Metals & Mining,17400
72,German Larrea Mota Velasco,64,Mexico,M,mining,Metals & Mining,17300
73,Carl Icahn,82,United States,M,investments,Finance and Investments,16800
74,Stefan Persson,70,Sweden,M,H&M,Fashion & Retail,16800
75,Michael Hartono,78,Indonesia,M,"banking, tobacco",Manufacturing,16700
76,Joseph Lau,66,Hong Kong,M,real estate,Real Estate,16700
78,Vagit Alekperov,67,Russia,M,oil,Energy,16400
79,James Ratcliffe,65,United Kingdom,M,chemicals,Manufacturing,16400
80,Donald Bren,86,United States,M,real estate,Real Estate,16300
81,Iris Fontbona,75,Chile,F,mining,Metals & Mining,16300
82,Gennady Timchenko,65,Russia,M,"oil, gas",Energy,16000
83,Abigail Johnson,56,United States,F,money management,Finance and Investments,15900
84,Vladimir Potanin,57,Russia,M,metals,Metals & Mining,15900
85,Lukas Walton,31,United States,M,Walmart,Fashion & Retail,15900
86,Charlene de Carvalho-Heineken,63,Netherlands,F,Heineken,Food and Beverage,15800
87,Zhang Zhidong,46,China,M,internet media,Technology,15600
88,Petr Kellner,54,Czech Republic,M,banking,Finance and Investments,15500
89,Andrey Melnichenko,46,Russia,M,"coal, fertilizers",Energy,15500
91,Klaus-Michael Kuehne,81,Germany,M,shipping,Logistics,15300
92,Li Shufu,55,China,M,automobiles,Automotive,15300
93,Mikhail Fridman,54,Russia,M,"oil, banking, telecom",Energy,15100
94,Rupert Murdoch,87,United States,M,"newspapers, TV network",Media & Entertainment,15000
95,Dhanin Chearavanont,79,Thailand,M,diversified,Diversified,14900
96,Robert Kuok,94,Malaysia,M,"palm oil, shipping, property",Diversified,14800
97,Emmanuel Besnier,47,France,M,cheese,Food and Beverage,14700
98,Shiv Nadar,72,India,M,software services,Technology,14600
99,Viktor Vekselberg,61,Russia,M,"metals, energy",Energy,14400
100,Aliko Dangote,61,Nigeria,M,"cement, sugar, flour",Manufacturing,14100
101,Harold Hamm,72,United States,M,oil & gas,Energy,14100
102,Steve Cohen,62,United States,M,hedge funds,Finance and Investments,14000
103,Dustin Moskovitz,34,United States,M,Facebook,Technology,14000
104,Marcel Herrmann Telles,68,Brazil,M,beer,Food and Beverage,14000
105,Reinhold Wuerth,83,Germany,M,fasteners,Manufacturing,13600
106,Charles Ergen,65,United States,M,satellite TV,Media & Entertainment,13400
107,Eric Schmidt,63,United States,M,Google,Technology,13400
