timestamp_utc_microseconds	price	size
1550379200807168.0	3594.76	0.04
1550379200811851.0	3594.85	0.04
1550379200812836.0	3594.85	0.09
1550379200815492.0	3594.95	0.01
1550379200817866.0	3595.0	0.24581798
1550379200821013.0	3595.0	0.002
1550379200822629.0	3595.0	0.05
1550379200825892.0	3595.02	0.001
1550379200828293.0	3595.06	0.02
1550379200830038.0	3595.08	0.008
1550379200831935.0	3595.16	0.024
1550379200834650.0	3595.16	0.00148179
1550379201663464.0	3595.16	0.01328822
1550379203778317.0	3594.45	0.0256
1550379203779269.0	3594.44	0.008
1550379203780153.0	3594.42	0.49869977
1550379208484129.0	3595.16	0.00922999
1550379208488875.8	3595.16	0.00560869
1550379208489835.0	3595.18	0.02
1550379208491424.0	3595.19	0.00161036
1550379208494785.0	3595.29	0.00161036
1550379208496200.0	3595.3	0.00161036
1550379208497787.0	3595.39	0.00161036
1550379208500116.0	3595.4	0.00161036
1550379208502302.0	3595.41	0.003
1550379208504251.0	3595.42	0.06056151
1550379210671667.0	3595.17	0.03377266
1550379213037394.0	3595.39	0.00559101
1550379223558790.0	3595.2	0.13306666
1550379223811272.2	3595.2	0.01328674
1550379225687229.0	3595.2	0.0069215
1550379225910963.0	3595.2	0.00733663
1550379228566577.0	3595.19	0.0069215
1550379230645611.0	3595.2	0.00996686
1550379231878240.0	3595.2	0.2658635
1550379233243619.0	3595.19	0.00996686
1550379234745444.0	3595.19	0.2658635
1550379236243231.0	3595.2	0.03725868
1550379240164206.0	3595.2	0.00221689
1550379245818476.0	3595.2	0.01190365
1550379257808197.0	3595.2	0.0029088
1550379266310158.0	3595.2	0.03752654
1550379267324949.0	3595.38	0.02555093
1550379267988524.0	3595.38	0.01992983
1550379270120278.0	3595.37	0.03
1550379270121148.0	3595.37	0.00752654
1550379284903071.2	3595.2	0.07132783
1550379285827309.8	3595.38	0.00650674
1550379289062270.0	3595.38	0.0029088
1550379289570615.0	3595.38	0.00710553
1550379299532558.0	3595.38	0.1330674
1550379302120445.0	3595.37	0.01
1550379302121536.0	3595.37	0.04
1550379302123013.0	3595.37	0.0830674
1550379306149471.0	3595.38	0.00493077
1550379306150462.0	3595.41	0.01499807
1550379306637910.8	3595.41	0.01328748
1550379306769510.0	3595.42	0.21837537
1550379306924450.0	3595.42	0.01328681
1550379307753890.0	3595.3	0.04
1550379307770717.8	3595.42	0.03983989
1550379308412607.0	3595.42	0.01992871
1550379308883229.0	3595.42	0.031756
1550379310966578.0	3595.42	0.05164034
1550379311922064.0	3595.42	0.00913551
1550379313765932.0	3595.41	0.45306078
1550379313767205.0	3595.39	0.01
1550379313769127.8	3595.19	0.53693922
1550379319373667.0	3595.4	0.0065064
1550379319945931.0	3595.41	0.05322692
1550379324190030.0	3595.38	0.02847459
1550379325188735.0	3595.19	0.11867728
1550379328230162.0	3595.2	0.05726467
1550379328690373.0	3595.42	0.00373886
1550379338478722.0	3595.41	0.04
1550379339985055.0	3595.42	0.03752425
1550379340240093.0	3595.41	0.001
1550379340241361.8	3595.2	0.02141839
1550379340243539.0	3595.2	0.007
1550379341534469.8	3595.41	0.04
1550379341535601.0	3595.19	0.06163164
1550379341538310.0	3595.19	0.05512124
1550379341978511.8	3595.4	0.0051226
1550379342432019.0	3595.42	0.079839
1550379347069923.2	3595.42	0.17298403
1550379352367169.8	3595.42	0.03991811
1550379360284825.0	3595.42	0.00195384
1550379369590659.8	3595.42	0.00318537
1550379375242341.0	3595.42	0.0056761
1550379375697331.0	3595.42	0.00539935
1550379377034334.0	3595.42	0.00650634
1550379378228937.0	3595.42	0.03991811
1550379378435967.0	3595.41	0.00539935
1550379384997758.8	3595.42	0.01716114
1550379387780424.0	3595.41	0.02565846
1550379388123769.0	3595.39	0.03592741
1550379391518742.0	3595.22	0.00719821
1550379394447605.2	3595.42	0.00373886
1550379396611406.0	3595.42	0.075
1550379397660826.0	3595.41	0.00373886
1550379399310849.0	3595.41	0.075
1550379402442211.8	3595.42	0.00650634
1550379403866649.0	3595.41	0.02158531
1550379404937711.0	3595.42	0.02661208
1550379418346522.0	3595.41	0.00573037
1550379420029552.0	3595.41	0.07202
1550379420272809.0	3595.41	0.022
1550379421045330.0	3595.42	0.0024935
1550379421049039.2	3595.42	0.02581504
1550379421412644.8	3595.41	0.87866432
1550379421416811.0	3595.24	0.008
1550379421418769.8	3595.23	1.0
1550379424726151.0	3595.15	0.010001
1550379424727191.0	3594.21	0.01581404
1550379426960481.2	3594.88	0.04
1550379426963555.0	3594.98	0.02
1550379426966824.0	3594.99	0.04
1550379426969264.0	3595.42	0.03715354
1550379426972989.0	3595.5	0.00161036
1550379426976697.0	3595.68	0.3
1550379426977568.0	3595.69	0.00161036
1550379426980778.0	3595.69	0.05045748
1550379427188816.0	3594.32	0.0257
1550379427189837.0	3594.32	0.008
1550379427190749.0	3594.31	1.0
1550379427191638.0	3594.23	0.02
1550379427194223.2	3594.14	0.01
1550379427195876.8	3593.99	0.06203
1550379427196906.0	3593.98	0.3
1550379427197870.0	3593.98	0.09377
1550379427403885.8	3595.68	0.3
1550379427405966.0	3595.68	0.19234002
1550379432146997.0	3595.68	0.01051919
1550379432948194.0	3595.37	0.00263206
1550379434292289.0	3595.34	0.01971695
1550379438243322.2	3595.39	0.01112803
1550379443596410.0	3595.68	0.00559101
1550379443597596.2	3595.69	0.04763562
1550379450746430.2	3595.68	0.00560672
1550379450749501.0	3595.68	0.01
1550379450750774.0	3595.58	0.00395891
1550379453677063.0	3595.69	0.00512222
1550379455095018.0	3595.69	0.0268453
1550379456349223.2	3595.68	0.00512222
1550379458313943.8	3595.68	0.09487778
1550379458318991.0	3595.68	0.01
1550379458320182.0	3595.68	0.04
1550379458321299.0	3595.68	0.0257
1550379458323423.2	3595.68	0.13612849
1550379458325413.0	3595.67	1.50773366
1550379458329493.0	3595.6	1.0
1550379458332290.0	3595.34	0.04
1550379458806728.8	3595.01	0.008
1550379458817506.0	3594.67	1.0
1550379458818714.2	3594.59	2.2
1550379459832165.0	3595.66	0.00166313
1550379461544742.0	3595.31	0.00401531
1550379463552248.0	3595.05	0.0257
1550379463553755.0	3595.04	0.72071999
1550379463554796.0	3595.0	0.23
1550379463556363.0	3594.5	0.008
1550379463559974.0	3594.49	1.0
1550379463561233.0	3594.49	0.00161036
1550379463570444.8	3594.01	0.315
1550379463572194.8	3593.97	0.81734
1550379468017014.0	3594.73	0.04
1550379468018862.0	3594.8	0.04
1550379468021461.0	3594.83	0.05633237
1550379469547642.0	3595.37	0.01328667
1550379470622937.0	3595.31	0.0197626
1550379476784131.0	3594.71	0.010001
1550379476785236.8	3594.95	0.069832
1550379480060575.0	3594.95	0.00249383
1550379483608749.0	3594.95	0.01328844
1550379488567169.0	3594.95	0.00512327
1550379488830640.0	3594.95	0.15926246
1550379488832401.0	3594.95	0.05
1550379488839214.0	3594.98	0.01
1550379488840232.2	3595.43	0.02
1550379488841143.0	3595.69	0.16993938
1550379488847081.0	3595.73	0.008
1550379488848029.0	3595.74	0.08279816
1550379490639632.0	3595.74	1.917
1550379490821568.0	3595.74	0.00020184
1550379490825744.8	3595.79	0.00161036
1550379490826923.2	3595.8	0.00161036
1550379490831010.8	3595.89	0.005
1550379490833659.0	3595.89	0.00161036
1550379490899603.0	3595.9	0.00161036
1550379490902794.8	3595.96	0.01
1550379490903686.0	3596.0	0.01511838
1550379490910083.0	3596.0	0.07327126
1550379491322166.0	3596.0	0.359
1550379491560736.0	3596.0	0.00086657
1550379491562834.0	3596.02	0.001
1550379491566494.0	3596.75	0.005
1550379491567746.2	3596.81	0.002
1550379491568772.0	3596.89	0.00442183
1550379494143411.8	3596.89	0.00057817
1550379494146128.0	3596.91	0.018
1550379494147223.0	3596.91	0.018
1550379494152092.0	3596.98	0.02
1550379494153047.0	3596.99	0.00160875
1550379494153965.0	3597.0	0.00160875
1550379494155385.0	3597.05	0.048
1550379494158766.0	3597.12	0.0015
1550379494159676.0	3597.19	0.02911059
1550379496076230.0	3597.18	0.40428289
1550379496079126.0	3597.18	1.0873773
1550379496082806.0	3597.18	0.76535981
1550379497387234.0	3597.18	0.14034243
1550379497949621.2	3597.19	0.00512327
1550379502143020.0	3597.19	0.01549266
1550379502144127.0	3597.19	0.01881263
1550379502852530.0	3597.19	0.01051483
1550379508985942.0	3597.18	0.00166137
1550379509982631.0	3597.19	0.05727216
1550379516715050.0	3597.18	0.02403863
1550379516719996.0	3597.18	0.02
1550379516722172.0	3596.88	0.57094694
1550379526539244.0	3597.13	0.00138582
1550379526801025.0	3597.13	0.0042209
1550379526803350.0	3597.13	0.0226132
1550379527348449.0	3597.13	0.0701068
1550379527350853.0	3597.13	0.04
1550379527353137.0	3597.13	0.34287254
1550379540238661.0	3597.12	0.010001
1550379540239652.0	3596.88	0.04534811
1550379542165195.0	3596.76	0.00553233
1550379554666810.0	3596.46	0.11989744
1550379555854559.0	3596.46	0.0055329
1550379556080502.0	3596.46	0.00346083
1550379557469684.0	3596.46	0.00138599
1550379559767088.2	3596.46	0.00595113
1550379569019582.0	3596.46	0.02633878
1550379569832804.0	3596.46	0.08
1550379570413274.0	3596.46	0.0143895
1550379571842158.0	3596.45	0.02633878
1550379572881104.0	3596.45	0.08
1550379578607112.0	3596.46	0.00373778
1550379590136672.0	3596.46	0.0845082
1550379594778131.0	3596.46	0.0083028
1550379596254017.0	3596.46	0.00553432
1550379596489043.0	3596.46	0.075
1550379598004141.0	3596.46	0.00512112
1550379601023311.8	3596.46	0.01378083
1550379611429230.0	3596.46	0.00290778
1550379611720947.0	3596.46	0.0691725
1550379614954571.0	3596.45	0.0691725
1550379617261707.0	3596.46	0.00567446
1550379620786067.0	3596.46	0.04205628
1550379637465391.0	3596.46	0.02660438
1550379639568951.8	3596.45	0.00521173
1550379641057638.2	3596.46	0.27260637
1550379644969061.8	3596.46	0.00456779
1550379647301494.8	3596.46	0.01383616
1550379648756142.0	3596.46	0.01328282
1550379655813639.2	3596.46	0.00512112
1550379658494241.0	3596.46	0.01328282
1550379662065360.0	3596.46	0.07901634
1550379662329095.0	3596.46	0.01
1550379673447404.0	3596.46	0.02656288
1550379675554765.0	3596.46	0.03990657
1550379680607218.0	3596.46	0.01899965
1550379686385028.0	3596.46	0.02527361
1550379686886353.0	3596.46	0.03990657
1550379688468787.0	3596.46	0.00650446
1550379689200703.8	3596.46	0.00512112
1550379690982613.0	3596.45	0.02527361
1550379692282826.0	3596.46	0.00677836
1550379692674718.8	3596.46	0.00913281
1550379693814030.2	3596.46	0.00968614
1550379696542410.8	3596.46	0.0070578
1550379697228883.0	3596.46	0.00249278
1550379697980377.0	3596.46	0.03800128
1550379698775213.0	3596.46	0.27233247
1550379700792302.0	3596.45	0.03800128
1550379705369481.0	3596.46	0.27272467
1550379709579084.0	3596.46	0.00539779
1550379709971154.0	3596.46	0.01663317
1550379711854444.0	3596.46	0.00700246
1550379715239017.0	3596.46	0.00193944
1550379717120691.0	3596.46	0.010001
1550379717121713.2	3596.46	0.003
1550379717124265.0	3596.46	0.00415517
1550379718790962.0	3596.46	0.04584483
1550379718792557.0	3596.46	0.02332767
1550379719117700.0	3596.46	0.06651372
1550379721324262.0	3596.45	0.02
1550379721637242.0	3596.45	0.06651372
1550379725698758.2	3596.46	0.00387888
1550379729179041.0	3596.46	0.00913281
1550379736174341.0	3596.46	0.02128406
1550379738657264.0	3596.46	0.02527361
1550379739626698.0	3596.45	0.02128406
1550379741691966.0	3596.46	0.02683955
1550379741956994.0	3596.46	0.02580758
1550379745190974.0	3596.46	0.00249278
1550379745822802.0	3596.46	0.01992285
1550379748063441.0	3596.46	0.05
1550379749361928.0	3596.45	0.00356053
1550379755809199.0	3596.46	0.00226101
1550379755813790.0	3596.46	0.01102181
1550379758620864.2	3596.45	0.01328282
1550379762061322.0	3596.46	0.00584993
1550379767075158.0	3596.45	1.89467856
1550379770674969.0	3596.45	0.01118034
1550379778012452.0	3596.46	0.00415002
1550379785745785.0	3596.46	0.05455531
1550379787872346.2	3596.46	0.03987832
1550379788669409.0	3596.45	0.056834
1550379789895630.0	3596.45	0.02787226
1550379793331115.0	3596.46	0.02376001
1550379793333011.0	3596.46	0.0072
1550379793333969.8	3596.46	0.06445167
1550379801245337.0	3596.45	0.55818304
1550379802250586.0	3596.46	0.01644833
1550379802253271.0	3596.46	0.01980069
1550379804445510.8	3596.46	0.00774947
1550379807125318.0	3596.46	0.00249278
1550379817456819.0	3596.46	0.00445706
1550379817457850.0	3596.46	0.0249928
1550379821485855.0	3596.46	0.00512112
1550379822363676.0	3596.46	0.02660438
1550379825094582.0	3596.45	0.08159917
1550379826272743.0	3596.46	1.36302909
1550379826615140.0	3596.45	0.02660438
1550379830661260.0	3596.46	0.02793515
1550379833197572.0	3596.46	0.04921921
1550379833606705.2	3596.45	0.02793515
1550379834540750.0	3596.46	0.02766679
1550379835103933.0	3596.46	0.00159084
1550379837075234.0	3596.46	0.13302744
1550379842578710.0	3596.45	2.0802234
1550379842579686.0	3596.45	0.08080254
1550379842581683.8	3596.45	0.00834156
1550379842585142.8	3596.45	0.010001
1550379842586055.0	3596.45	0.0118728
1550379842587347.0	3596.45	3.23539317
1550379846383718.0	3594.13	0.00553336
1550379857422099.0	3594.13	0.00913873
1550379857835651.0	3594.13	0.00274079
1550379863004655.0	3594.13	0.00595498
1550379868941699.0	3594.13	0.07846681
1550379871613875.0	3594.13	0.03516236
1550379873786622.0	3594.13	0.01578306
1550379875318318.0	3594.13	0.00111016
1550379876855786.8	3594.13	0.00858503
1550379876899605.0	3594.13	0.01993577
1550379881045998.0	3594.13	0.08305416
1550379888727787.0	3594.13	0.09756446
1550379888783382.0	3594.12	0.01375781
1550379891738614.0	3594.13	0.01329143
1550379893020295.0	3594.13	0.00512444
1550379897708124.0	3594.13	0.03993244
1550379898367877.0	3594.13	0.00374021
1550379901277517.0	3594.12	0.00374021
1550379904549841.0	3594.13	0.05988889
1550379904654111.0	3594.13	0.08572574
1550379904863638.2	3594.13	0.01578306
1550379905426009.0	3594.13	0.01329143
1550379908052400.0	3594.13	0.05324602
1550379908827926.0	3594.12	0.00820198
1550379908829149.0	3594.12	0.00508945
1550379909793998.0	3594.13	0.0072008
1550379911733076.0	3594.13	0.02824395
1550379930932115.0	3594.13	0.00913873
1550379933818086.8	3594.13	0.00249439
1550379934367741.0	3594.13	0.00507918
1550379937133030.2	3594.13	0.02662163
1550379939691577.0	3594.13	0.02528999
1550379940349878.8	3594.13	0.00650314
1550379940909531.0	3594.12	0.01491055
1550379940911532.0	3594.12	0.01171108
1550379942222586.0	3594.13	0.01107389
1550379943268978.8	3594.12	0.00650314
1550379944197977.0	3594.13	0.10436033
1550379946959076.0	3594.13	0.01329143
1550379950649933.0	3594.13	0.05457489
1550379953540621.0	3594.13	0.05321264
1550379953541970.0	3594.13	0.01019029
1550379953542860.0	3594.13	0.010001
1550379953543713.0	3594.13	0.5
1550379953544557.0	3594.13	0.5
1550379953545372.0	3594.13	0.00845131
1550379959185807.0	3594.13	0.05990143
1550379959712871.0	3594.13	0.02436809
1550379959935886.0	3594.13	0.00650868
1550379961008911.8	3594.12	0.01919686
1550379961009822.2	3594.12	0.03697249
1550379961879276.0	3594.13	0.01
1550379961883751.0	3594.13	0.04
1550379961884599.0	3594.13	0.00561192
1550379961885451.0	3594.13	0.02268459
1550379966559252.0	3594.14	0.01993577
1550379966702489.2	3594.14	0.00395686
1550379966703627.8	3594.14	0.00933457
1550379969222518.0	3594.14	0.011113
1550379970315955.2	3594.14	0.01467567
1550379975974053.8	3594.14	0.06819577
1550379977405130.2	3594.13	0.00301541
1550379977406260.0	3594.13	0.00213849
1550379979193430.2	3594.13	0.00402827
1550379983318086.8	3594.14	0.00832195
1550379983740382.0	3594.14	0.03993233
1550379983953879.0	3594.14	0.00650312
1550379995585040.0	3594.14	0.39933715
1550379996533387.0	3594.14	0.00832195
1550379997840112.0	3594.14	0.05324588
1550379998679400.0	3594.13	0.00109121
1550379998683669.8	3594.13	0.1
1550379998686720.0	3594.13	0.4762768
1550380006558673.2	3594.14	0.02009614
1550380009317961.0	3594.14	0.0212978
1550380009572215.0	3594.14	0.00725797
1550380009573140.2	3594.14	0.02069522
1550380013195552.8	3594.13	0.0212978
1550380016367216.0	3594.14	0.00650866
1550380021547853.0	3594.13	0.12676449
1550380023019914.2	3594.14	0.00540127
1550380025035655.0	3594.14	0.00111015
1550380035506138.0	3594.14	0.01003344
1550380038264666.0	3594.13	0.0103435
1550380039163407.0	3594.13	0.01003344
1550380042495724.0	3594.14	0.05324588
1550380045491555.0	3594.14	0.04346766
1550380050694062.0	3594.13	0.00998296
1550380061473619.0	3594.13	0.02788466
1550380071329867.0	3594.13	0.01336256
1550380071730104.0	3594.14	0.01356824
1550380072865749.0	3594.13	0.00527846
1550380073754391.0	3594.14	0.00269925
1550380073757582.0	3594.14	0.02768464
1550380073762750.8	3594.14	0.01558559
1550380073764444.8	3594.14	0.00278552
1550380073766588.0	3594.29	0.00239237
1550380075414647.0	3594.28	0.003
1550380075416360.8	3594.28	0.004
1550380075418636.8	3594.28	0.02494808
1550380080113157.0	3594.29	0.008
1550380080115345.0	3594.3	0.00529086
1550380080604035.0	3594.3	0.00111011
1550380081616027.0	3594.3	0.00949212
1550380083084650.0	3594.29	0.25147929
1550380085783539.0	3594.3	0.0274094
1550380086836622.0	3594.3	0.02182842
1550380088702510.0	3594.3	0.04152794
1550380090379347.0	3594.3	0.00277943
1550380093070366.0	3594.3	0.01329086
1550380101783710.0	3594.3	0.0042937
1550380106744447.0	3594.3	0.03327546
1550380109169944.0	3594.3	0.00249428
1550380112593193.0	3594.3	0.00913829
1550380121067977.0	3594.3	0.21270273
1550380123552461.0	3594.3	0.24145472
1550380124038194.0	3594.29	0.010001
1550380124043076.0	3594.29	0.0257
1550380124044203.0	3594.29	0.00725722
1550380124045244.0	3594.29	0.00161036
1550380124046164.0	3594.13	0.16813415
1550380127678892.0	3594.14	0.00561192
1550380127679850.0	3594.14	0.00767889
1550380130003530.0	3594.14	0.00272347
1550380132980525.0	3594.15	0.003
1550380132986364.2	3594.29	0.008
1550380132987419.0	3594.3	0.09548424
1550380133650828.8	3594.3	0.02366
1550380134100955.0	3594.3	0.09546901
1550380135688346.2	3594.29	0.0257
1550380135689777.0	3594.13	0.08078424
1550380136702209.0	3594.18	0.003
1550380136703862.0	3594.2	0.004
1550380136704864.0	3594.2	0.003
1550380136705982.0	3594.21	0.004
1550380136707381.0	3594.21	0.003
1550380136708923.0	3594.29	0.008
1550380136710912.0	3594.3	0.16134812
1550380139360339.2	3594.15	0.02662037
1550380139840680.0	3594.15	0.00908676
1550380139842991.0	3594.3	0.06145888
1550380147768751.8	3594.3	0.01003299
1550380153778054.0	3594.3	0.02582309
1550380159812400.0	3594.3	0.0011101
1550380160173029.0	3594.29	0.00167491
1550380163729522.0	3594.3	0.01993482
1550380165432577.0	3594.3	0.00941513
1550380165597009.0	3594.3	0.06655369
1550380170530267.0	3594.3	0.01329081
1550380173719623.0	3594.3	0.01164268
1550380181622517.0	3594.3	0.0051242
1550380182233178.8	3594.3	0.00692085
1550380183405838.0	3594.3	0.00650837
1550380191434689.0	3594.3	0.06819255
1550380191874822.2	3594.3	0.13869306
1550380193948268.0	3594.3	0.01993482
1550380195709986.0	3594.3	0.0067852
1550380196561588.0	3594.29	0.01993482
1550380197904845.0	3594.3	0.0051242
1550380201603950.0	3594.3	0.02048849
1550380202992558.0	3594.3	0.02662037
1550380204313710.0	3594.29	0.00409027
1550380204314941.0	3594.29	0.01639822
1550380205340484.0	3594.3	0.00954604
1550380207227439.2	3594.3	0.02662037
1550380208399599.0	3594.3	0.07320878
1550380224541003.0	3594.3	0.04845151
1550380246109999.0	3594.3	0.03802412
1550380250878804.0	3594.3	0.07986388
1550380255753921.0	3594.3	0.0011101
1550380265550177.8	3594.3	0.03327135
1550380270767432.0	3594.3	0.01384171
1550380273477664.0	3594.3	0.02129685
1550380276231953.8	3594.3	0.01259199
1550380276233630.2	3594.3	0.00725722
1550380276238466.0	3594.3	0.00411078
1550380279234676.8	3594.3	0.00188288
1550380282242030.2	3594.3	0.00400734
1550380282244056.0	3594.3	0.00651512
1550380294804261.0	3594.3	0.00794322
1550380296070978.0	3594.3	0.28218532
1550380297673613.0	3594.3	0.01109544
1550380300901732.0	3594.3	0.0011101
1550380303702345.0	3594.29	0.0011101
1550380309712855.0	3594.3	0.01423655
1550380310048035.8	3594.3	0.01437876
